Ozellik,Malzeme,Deneysel,SVR-6feat,SVR-6feat_hata%,GBR-6feat,GBR-6feat_hata%,MLP-6feat,MLP-6feat_hata%,SVR-12feat,SVR-12feat_hata%,GBR-12feat,GBR-12feat_hata%,MLP-12feat,MLP-12feat_hata%
Eg(Gamma),GaAs,1.4240,1.4161,0.6,1.4182,0.4,1.5077,5.9,1.4263,0.2,1.4556,2.2,1.3342,6.3
Eg(Gamma),AlAs,3.0200,3.0009,0.6,3.0191,0.0,3.0508,1.0,3.0171,0.1,3.0508,1.0,3.0262,0.2
Eg(Gamma),InAs,0.3700,0.3551,4.0,0.3664,1.0,0.5357,44.8,0.3595,2.8,0.3634,1.8,0.3494,5.6
Eg(Gamma),GaP,2.7800,2.4164,13.1,2.6997,2.9,2.0917,24.8,2.8926,4.0,2.5931,6.7,1.4722,47.0
Eg(Gamma),AlP,3.6200,3.6055,0.4,3.6262,0.2,3.6609,1.1,3.6531,0.9,3.6091,0.3,3.6906,1.9
Eg(Gamma),InP,1.3440,1.3304,1.0,1.3694,1.9,1.3341,0.7,1.3352,0.7,1.3525,0.6,1.3258,1.4
Eg(Gamma),GaSb,0.7500,0.7548,0.6,0.7531,0.4,0.7787,3.8,0.7500,0.0,0.7488,0.2,0.7421,1.0
Eg(Gamma),AlSb,2.3000,2.3042,0.2,2.3012,0.1,2.3017,0.1,2.3108,0.5,2.2956,0.2,2.2657,1.5
Eg(Gamma),InSb,0.1690,0.1710,1.2,0.1626,3.8,0.2141,26.7,0.1613,4.6,0.1577,6.7,0.1723,2.0
Eg(Gamma),ORTALAMA,,,2.0,,2.3,,10.6,,1.2,,2.3,,7.5
Delta_so,GaAs,0.3400,0.3397,0.1,0.3244,4.6,0.3290,3.2,0.3363,1.1,0.3245,4.6,0.3154,7.2
Delta_so,AlAs,0.3000,0.2994,0.2,0.3001,0.0,0.3307,10.2,0.2975,0.8,0.3001,0.0,0.2931,2.3
Delta_so,InAs,0.3800,0.3818,0.5,0.3799,0.0,0.3902,2.7,0.3802,0.1,0.3799,0.0,0.3828,0.7
Delta_so,GaP,0.0800,0.1090,36.2,0.0825,3.1,0.1019,27.4,0.1070,33.7,0.0793,0.9,0.1091,36.3
Delta_so,AlP,0.0400,0.0402,0.6,0.0400,0.1,0.0448,12.0,0.0396,1.0,0.0401,0.1,0.0383,4.3
Delta_so,InP,0.1080,0.1062,1.7,0.1079,0.1,0.1112,3.0,0.1056,2.2,0.1080,0.0,0.1086,0.6
Delta_so,GaSb,0.7600,0.7614,0.2,0.7601,0.0,0.7626,0.3,0.7615,0.2,0.7600,0.0,0.7504,1.3
Delta_so,AlSb,0.6730,0.6733,0.0,0.6733,0.0,0.6783,0.8,0.6735,0.1,0.6734,0.1,0.6783,0.8
Delta_so,InSb,0.8580,0.8593,0.2,0.8591,0.1,0.8643,0.7,0.8596,0.2,0.8591,0.1,0.8489,1.1
Delta_so,ORTALAMA,,,5.1,,1.3,,5.5,,4.7,,0.9,,6.4
me*,GaAs,0.0670,0.0670,0.0,0.0699,4.4,0.0725,8.2,0.0675,0.7,0.0706,5.4,0.0641,4.4
me*,AlAs,0.1500,0.1482,1.2,0.1542,2.8,0.1523,1.5,0.1487,0.9,0.1563,4.2,0.1552,3.5
me*,InAs,0.0240,0.0228,5.0,0.0236,1.8,0.0340,41.5,0.0230,4.1,0.0232,3.3,0.0228,5.1
me*,GaP,0.0770,0.0757,1.7,0.1460,89.6,0.0806,4.6,0.1022,32.8,0.1583,105.6,0.0761,1.1
me*,AlP,0.2490,0.2473,0.7,0.2461,1.2,0.2364,5.1,0.2518,1.1,0.2449,1.7,0.2555,2.6
me*,InP,0.0770,0.0759,1.4,0.0799,3.7,0.0773,0.3,0.0763,0.9,0.0790,2.6,0.0759,1.4
me*,GaSb,0.0410,0.0414,1.1,0.0421,2.6,0.0441,7.5,0.0412,0.5,0.0421,2.7,0.0419,2.3
me*,AlSb,0.1200,0.1200,0.0,0.1193,0.5,0.1189,0.9,0.1206,0.5,0.1191,0.8,0.1166,2.8
me*,InSb,0.0140,0.0153,9.2,0.0150,7.3,0.0203,44.7,0.0146,4.1,0.0146,4.0,0.0162,15.6
me*,ORTALAMA,,,2.3,,13.4,,10.3,,5.0,,15.3,,4.2
