Malzeme,Parametre,Klimeck,SVR-6feat,SVR-12feat
GaAs,Es_a,-3.53284,-3.52407,-3.49212
GaAs,Ep_a,0.27772,0.28905,0.27642
GaAs,Ess_a,12.33930,12.31802,12.30970
GaAs,Es_c,-8.11499,-7.98653,-8.11629
GaAs,Ep_c,4.57341,4.56355,4.59016
GaAs,Ess_c,4.31241,4.21387,4.23622
GaAs,Vss,-6.87653,-6.81074,-6.86597
GaAs,Vxx,1.33572,1.37965,1.32415
GaAs,Vxy,5.07596,5.10558,5.06118
GaAs,Vsapc,2.85929,2.85864,2.85685
GaAs,Vscpa,11.09774,11.12836,11.20358
GaAs,Vssapc,6.31619,6.37360,6.34910
GaAs,Vsscpa,5.02335,4.81403,5.03366
GaAs,Vsssa,0.00000,0.00000,0.00000
GaAs,delta_so_a,0.32703,0.35804,0.35343
GaAs,delta_so_c,0.12000,0.12489,0.11777
AlAs,Es_a,-3.21537,-3.19949,-3.21158
AlAs,Ep_a,-0.09711,-0.10431,-0.09696
AlAs,Ess_a,12.05550,12.06844,12.06878
AlAs,Es_c,-9.52462,-9.68716,-9.53681
AlAs,Ep_c,4.97139,5.05145,5.04242
AlAs,Ess_c,3.99445,3.89627,3.89881
AlAs,Vss,-8.84261,-8.86464,-8.84500
AlAs,Vxx,-0.01434,-0.03422,-0.01716
AlAs,Vxy,4.25949,4.14189,4.18787
AlAs,Vsapc,2.42476,2.45579,2.46292
AlAs,Vscpa,13.20317,13.43423,13.36634
AlAs,Vssapc,5.83246,5.82601,5.84315
AlAs,Vsscpa,4.60075,4.66590,4.67902
AlAs,Vsssa,0.00000,0.00000,0.00000
AlAs,delta_so_a,0.29145,0.29945,0.29749
AlAs,delta_so_c,0.03152,0.02848,0.03131
InAs,Es_a,-9.57566,-9.57839,-9.57951
InAs,Ep_a,0.02402,0.02347,0.02433
InAs,Ess_a,7.44461,7.36903,7.37959
InAs,Es_c,-2.21525,-2.20133,-2.19820
InAs,Ep_c,4.64241,4.64617,4.64638
InAs,Ess_c,4.12648,4.15678,4.16011
InAs,Vss,-5.06858,-5.03832,-5.04110
InAs,Vxx,0.84908,0.85035,0.85114
InAs,Vxy,4.68538,4.60883,4.61430
InAs,Vsapc,2.51793,2.52058,2.52448
InAs,Vscpa,6.18038,6.22984,6.23696
InAs,Vssapc,3.79662,3.84091,3.84575
InAs,Vsscpa,2.45537,2.43084,2.44821
InAs,Vsssa,0.00000,0.00000,0.00000
InAs,delta_so_a,0.38159,0.38193,0.38031
InAs,delta_so_c,0.37518,0.37691,0.37637
GaP,Es_a,-8.63163,-8.25277,-9.01434
GaP,Ep_a,0.77214,0.56688,0.71356
GaP,Ess_a,11.90050,10.43207,10.52008
GaP,Es_c,-1.77800,-2.57653,-1.62481
GaP,Ep_c,4.17259,4.29782,3.96148
